Name;Position;Team;Geburtsdatum;Bild
Koba Koindredi;Mittelfeldspieler;FC Lausanne-Sport;2001-10-27;https://scoreplay-mam-media.s3.amazonaws.com/322/1864797/media_52731398_52316362.png
Florent Mollet;Mittelfeldspieler;FC Lausanne-Sport;1991-11-19;https://cdn.scoreplay.io/scoreplay-mam-media/322/5503958/media_116636386_116246378.png
Alban Ajdini;Stürmer;FC Lausanne-Sport;1999-07-09;https://cdn.scoreplay.io/scoreplay-mam-media/322/5503958/media_116636364_116246357.png
Enzo Molebe;Stürmer;FC Lausanne-Sport;2007-09-18;
Nathan Butler-Oyedeji;Stürmer;FC Lausanne-Sport;2003-01-04;https://cdn.scoreplay.io/scoreplay-mam-media/322/5503958/media_116636409_116246400.png
Seydou Traore;Stürmer;FC Lausanne-Sport;2004-12-05;https://cdn.scoreplay.io/scoreplay-mam-media/322/5503958/media_116636420_116246411.png
Evan Franchi;Stürmer;FC Lausanne-Sport;2008-04-30;
Ibrahim Bah Mendes;Stürmer;FC Lausanne-Sport;2005-11-22;https://cdn.scoreplay.io/scoreplay-mam-media/322/5503958/media_116636391_116246382.png
Levy Nene;Stürmer;FC Lausanne-Sport;2006-03-17;
Omar Janneh;Stürmer;FC Lausanne-Sport;2006-08-23;https://cdn.scoreplay.io/scoreplay-mam-media/322/5503958/media_116636415_116246406.png
David von Ballmoos;Torwart;FC Lugano;1994-12-30;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204756_114814116.png
Felix Gebhardt;Torwart;FC Lugano;2002-03-01;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204768_114814128.png
Ahmadou Ndiaye;Torwart;FC Lugano;2008-01-05;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204735_114814093.png
Diego Mina;Torwart;FC Lugano;2005-08-12;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204761_114814121.png
Bekhruz Karimov;Verteidiger;FC Lugano;2007-08-07;
Hannes Delcroix;Verteidiger;FC Lugano;1999-02-28;
Damian Kelvin;Verteidiger;FC Lugano;2002-06-15;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204752_114814112.png
